符合條件商品
資料日期：2024年 10月 22日
策略,	ETF換股
"序號","代碼","商品","成交","漲幅%","總量","本益比","PB比",殖利率
1	,"8401.TW","白紗科","27","0.37","45","10.4","1.6",6.67
2	,"5356.TW","協益","36.65","0","104","5.4","0.8",6.28
3	,"6024.TW","群益期","56.9","-0.18","129","10.6","1.7",6.05
4	,"2535.TW","達欣工","50","-0.2","96","10.6","1.4",6
5	,"2488.TW","漢平","46.9","0.64","150","9.5","1.5",5.97
6	,"5520.TW","力泰","80","0.38","7","9.2","2",5.75
7	,"6023.TW","元大期","88","-0.45","19","13.4","1.8",5.68
8	,"5014.TW","建錩","18.1","-0.82","1063","13.6","1.1",5.52
9	,"2937.TW","集雅社","36.45","0.69","3","12.9","1.6",5.49
10	,"6261.TW","久元","73.2","8.12","4176","13.7","1.4",5.46
11	,"3206.TW","志豐","47.6","0.42","83","10.1","1.9",5.25
12	,"2387.TW","精元","57.2","0.35","204","8.5","1.1",5.24
13	,"2409.TW","友達","17.4","2.35","35879","0","0.9",5.17
14	,"2107.TW","厚生","25.9","0.19","179","14.1","0.6",5.02
15	,"8367.TW","建新國際","50.2","-0.2","8","14.3","1.5",4.98
16	,"2852.TW","第一保","22.9","0.22","207","7.8","0.8",4.93
17	,"2603.TW","長榮","206","0.98","24062","6.1","0.9",4.84
18	,"2618.TW","長榮航","37.6","0.27","30310","8.6","1.9",4.79
19	,"1527.TW","鑽全","44.75","-0.22","225","13","1.3",4.47
20	,"6192.TW","巨路","112.5","-0.44","83","12.6","1.7",4.44
21	,"1817.TW","凱撒衛","40.9","-0.12","98","9.7","1.4",4.4
22	,"2606.TW","裕民","55.1","-0.36","1587","12.1","1.2",4.36
23	,"6194.TW","育富","41.5","-0.72","295","12.1","1.1",4.34
24	,"5515.TW","建國","23.2","2.43","1041","11.9","1.1",4.31
25	,"4933.TW","友輝","71","3.5","1420","11","1.7",4.19
26	,"1708.TW","東鹼","39.05","-0.26","892","14.1","1.4",3.84
27	,"3712.TW","永崴投控","52.3","1.16","1017","13","1.3",3.82
28	,"5603.TW","陸海","31.45","-0.63","475","14.1","1.8",3.82
29	,"2545.TW","皇翔","60.6","1.34","891","8.4","1.6",3.8
30	,"2637.TW","慧洋-KY","72.9","-0.95","3812","10.7","1.1",3.77
31	,"1777.TW","生泰","95.5","-0.52","28","14","1.8",3.66
32	,"2472.TW","立隆電","77.4","0.78","592","11.8","1.7",3.62
33	,"4532.TW","瑞智","28.35","1.43","1884","14.8","1.4",3.53
34	,"6807.TW","峰源-KY","77","0.13","19","12.1","1.9",3.38
35	,"9945.TW","潤泰新","47.25","-0.42","4220","9.7","1.3",3.17
36	,"3622.TW","洋華","65.6","1.39","873","13.5","1.4",3.05
